id	ER-ATH-ERR1084765	ER-ATH-ERR1084764	ER-NOD-ERR1084806	ER-NOD-ERR1084805	TN-ATH-ERR1084766	TN-ATH-ERR1084768	TN-NOD-ERR1084799	TN-NOD-ERR1084798
ENSG00000047410	0	0	0	0	0	0.668889	0	0
ENSG00000047621	0	0	0	0	0	0	0	0
ENSG00000047648	1.53259	0	0	3.81995	4.02205	0.531265	3.23099	0.68707
ENSG00000048544	0	0	1.13824	0	0	0	0	0
ENSG00000049239	0	0	0	0	0	0	0	0.458843
ENSG00000049541	0	0	0	0	1.72462	0	0	0
ENSG00000050130	4.37162	4.28801	0	3.69668	0	2.93959	0	1.88244
ENSG00000052802	2.07763	0	0	0	0	0	0.762319	0
ENSG00000053372	2.36074	2.0959	0	1.85809	0	0	0.617084	0
ENSG00000053501	0	0	0	0	0.874422	0	0	0
ENSG00000053524	0	1.60238	0	0	0	0	0.20598	0
ENSG00000054267	0	0	0	0	0	0	0	0
ENSG00000054654	3.09783	3.77194	4.1423	0.794013	0	2.86286	2.87043	2.72721
ENSG00000054690	0	0	0	0	0.936763	0	0	0.358993
ENSG00000055332	0	0	0	0	0	0	0	0
ENSG00000057019	0	0	2.63474	0	0	0	0	0
ENSG00000058668	0	1.62211	0	0	0	0	0	0
ENSG00000058866	0	0	0	0.747005	5.1497	2.53898	3.93031	1.37782
ENSG00000059145	0	0	0	0	0	0	0	0
ENSG00000059588	0	0	0	0	0	0	0	0
ENSG00000059691	0	0	0	0	0	0.31852	0	0
ENSG00000060138	0	0	0	0	0	0	0	0
ENSG00000060339	0	0	1.08414	0	0	0	0	0
ENSG00000063322	0	0	0	0	0	0	0	0
ENSG00000064012	0	0	0	0	0	0	0	0
ENSG00000064607	0	0	0	0.66228	0	0	0	0
ENSG00000064692	3.73003	3.38177	4.04129	5.7386	5.68048	0	2.38931	1.20507
ENSG00000065154	2.0545	2.66748	0	2.38608	3.42	2.46468	3.15022	2.53898
ENSG00000065413	0	0	0	0	0	0	0.353889	0
ENSG00000065621	0	1.9983	0.518727	0	0	0	0	0
ENSG00000066044	0	0	1.85809	1.9983	1.78209	0	1.50129	0
ENSG00000066056	0	0	0.759054	0	0.564307	0	0	0
ENSG00000066427	0	0	0	0	0	0	0	0
ENSG00000066468	0	0	0	0	0	0	0	0
ENSG00000067334	1.44822	0	0.933818	0	0	0	0.215796	0
ENSG00000067798	0	0	2.38931	0	0	0	0	0
ENSG00000067842	1.17112	0	0.516555	0.649551	4.1143	2.03052	3.06509	2.66748
ENSG00000068400	0	0	0	0	0	0	0	0
ENSG00000068489	0	0	0	1.20507	0	0	0	0
ENSG00000069431	2.09908	2.38931	2.01748	0.827444	0.666922	0.7275	0.855816	1.57943
ENSG00000069812	0	0	0	0	0	0	0	0
ENSG00000069869	6.05105	6.16291	6.25851	5.57474	4.64505	6.37589	5.21249	6.22448
ENSG00000069974	0	0	0	0	0	0.907628	0.324	0
ENSG00000070010	0	0	0	0	0	0	0.355928	0
ENSG00000070182	0	0	0	0	0	0	0	0
ENSG00000070190	0	0	0	0	0.548606	0	0	0
ENSG00000070601	0	0	0	0	0	0	0	0
ENSG00000070669	2.69435	3.94349	1.39264	4.03307	3.26018	3.83223	0	1.62211
ENSG00000070729	1.47294	0	0	2.24337	0	5.26067	3.64419	0.25939
ENSG00000070756	11.288	11.3341	11.736	10.8978	10.6516	11.7294	10.671	10.7005
ENSG00000070770	6.46646	6.30755	6.33172	5.9387	5.50509	6.72322	6.98511	6.88397
ENSG00000071073	0	0	0	0	0	0	0	0
ENSG00000071991	0	0	1.27478	0	2.45995	5.90241	0.136515	0.107814
ENSG00000072080	0	0	0	0	0	0	0	2.71203
ENSG00000072195	0	0	0	0	0.775509	0	0	0
ENSG00000073605	0	0	0	0	0	0	0	0
ENSG00000073756	1.42357	0	2.86286	6.3159	8.17869	4.8126	0	3.4125
ENSG00000074219	0	0	0	0	0	0	0	0
ENSG00000074416	0	0	0	0	0	0.831231	0.659047	0
ENSG00000074660	0	0	0	0	0	0	0	0
ENSG00000074755	1.13824	0	0	0.647552	0	0.524157	0.329873	0
ENSG00000074800	0	0	0	1.73624	4.7729	0.946146	1.80765	0.712685
ENSG00000075131	0	2.27056	0	0	0	0	0	0
ENSG00000075539	0	0	0	0	0	0	0	0
ENSG00000075624	6.80189	6.02854	6.5046	7.53603	7.42196	5.4872	7.57452	6.27912
ENSG00000075702	0	0	0	0	1.98854	0.659047	0	0
ENSG00000075884	0	0	0	0	0	0	0	0
ENSG00000075886	0	0	0	0	0	0	0.84896	0
ENSG00000075914	0	0	0	0	0	0	0	0
ENSG00000076053	0	1.85152	0.901721	0	0	0	0	0.319156
ENSG00000076513	0	0	0	0	0	0	0	0
ENSG00000076554	0	0	0	0	0	0	0	0
ENSG00000077254	0	0	0	0	0	0.677517	0	0
ENSG00000077454	0	1.61201	0	0	0	0	0	0
ENSG00000077809	0	0	0	0	0	0	0	0
ENSG00000078124	0	0	0	0.51104	0	0	0	0.0961709
ENSG00000078142	0	0	0	0	0	0.833476	0	0
ENSG00000078399	0	0	0	3.62221	6.82328	7.75232	0.913534	4.48513
ENSG00000078699	0	0	0.874422	0	0.458843	0.54739	0	0
ENSG00000078814	0	0	0	0	0	0	0	0
ENSG00000079385	0	0	0	0.955312	0	0	0	0
ENSG00000079482	3.55676	2.95168	3.64419	2.60919	1.10285	1.9983	2.0796	2.12209
ENSG00000079974	0	0	0	0	0	0	0	0
ENSG00000080573	0	0	0	0.740832	7.08351	2.65914	1.93532	2.95168
ENSG00000080802	0	0	0	0	0	0	0	0
ENSG00000080947	0	0	0	0	0.212361	0	0	0
ENSG00000081059	0	0	0	0	0	0	0	0
ENSG00000081665	0	0	0	1.87094	0	2.21369	0	0
ENSG00000081760	0	0	0	0	0	0	0	0
ENSG00000081870	0	0	0	1.86634	0	0	0	0
ENSG00000082805	0	0	0	3.42	0	0	0	0
ENSG00000082898	0	3.67658	0	0	0	0	0	0
ENSG00000083123	0	0	0	0	0	0.55807	0	0
ENSG00000083312	0	0	0	0	2.31616	0	0	0
ENSG00000083444	0	0	0	0	0	0	0	0
ENSG00000083807	1.27478	0	0	0	0	0	0	0
ENSG00000084072	0	2.89541	0	0	0	0	0	0
ENSG00000084092	0	0	0	0	0	0	0	0
ENSG00000084234	3.25118	0	2.45678	1.49531	0	2.22984	0	0.855816
ENSG00000084623	0	0	0	0	2.12209	0	0	0
ENSG00000084754	0	0	0	0	0	0	0	0
ENSG00000084774	0	0	0	2.0715	0	0	0	0
ENSG00000085662	0	0	3.66911	2.18006	0	0	1.12985	0
ENSG00000085998	0	0	0.792319	0	1.07905	0	0	0
ENSG00000086015	0	0	0.579029	0	0	0	0.195797	0
ENSG00000086598	0	0	0	0	0	0	0	0
ENSG00000086666	6.94015	6.07828	5.75827	6.0446	5.28467	4.79017	6.09002	5.8465
ENSG00000087053	1.79341	2.03671	0.862429	0	0	0	0	0.531265
ENSG00000087206	0	0	0	1.17112	2.82708	0	1.26162	0
ENSG00000087253	0	0	0	0	0	0	0	0
ENSG00000087258	0	0	0	0	1.9983	0	0	0
ENSG00000087263	0	0	0	1.79341	0	0	0	0
ENSG00000087266	1.09988	0	0	0	0	0.276652	0	0
ENSG00000087269	1.58312	2.20837	0	0.692684	1.89783	0	0.309436	0
ENSG00000087299	2.01011	0	1.10285	0	0	0	0	0
ENSG00000087460	0	2.71203	0	3.63495	0	3.25515	2.35812	4.03307
ENSG00000087470	0	0	0	0	0	0	0	0
ENSG00000088002	0	0	1.49531	0	0	0	0	0
ENSG00000088205	1.75252	2.45995	2.08298	0.732966	3.94349	0.866916	0.914201	0
ENSG00000088340	0	0	0	0	0	0	1.19232	0
ENSG00000088882	3.60656	2.5187	0	2.90359	7.52133	0	0.976743	2.11627
ENSG00000089006	0	0	0.644542	0	0	0	0	0
ENSG00000089050	0	0	0	0	0	0	0	0
ENSG00000089091	0	0	0	0	0	0	0	0
ENSG00000089225	0	0	0	1.09393	6.40724	0	3.38177	5.56953
ENSG00000089351	0	0	0	0	0	0	0	0
ENSG00000089685	0	0	0	0	0	0	0	0
ENSG00000089775	0	0	0	0.485016	0	0	0.187515	0.0633898
ENSG00000090006	0	0	0	0	0	0	0	0
ENSG00000090263	0	0	0	0	0	0	0	0
ENSG00000090382	0	0	1.55464	1.90876	0	1.10285	0	0
ENSG00000090487	0	0	0	0	0	0	0	0
ENSG00000090554	0	0	0	0	0	0	0	0
ENSG00000090581	0	0	0	0	0	0	0	0
ENSG00000090621	0	0	0	0	0	0	1.65509	0
ENSG00000090905	0	0	0	0	0	0	0	0
ENSG00000091409	0	0	0	0	0	0	0	0
ENSG00000091436	0	0	0	0	0	0	0	0
ENSG00000091651	3.77194	4.7156	4.7729	4.43274	0	2.28838	5.31049	3.64419
ENSG00000091844	0	0	0	0	2.52843	0	0	0
ENSG00000092330	0	0	0	0	0	0	0	0
ENSG00000092853	0	0	0	0	0	0	0	0
ENSG00000092931	0	0	0	0	0	0	0	0
ENSG00000093134	0	0	0	0	0	0	0	0
ENSG00000094916	0	0	0	0	0	0	0	0
ENSG00000095066	0	0	0.979562	0	0	0	0	0
ENSG00000095380	0	0	0	0	0	0.654239	0	0
ENSG00000095485	2.84201	3.09557	2.83026	1.22602	5.19101	2.49458	2.80432	2.41389
ENSG00000095787	1.57266	1.47771	0.770698	0	0	0.66228	0.740832	1.06549
ENSG00000096093	0	0	0	0	0	0	0	0
ENSG00000099338	0	1.78209	0	0	0	0	0	0
ENSG00000099377	0	0	0	0	0	0	0	0
ENSG00000099715	0	0	0	0	0	0.757291	0	0.20231
ENSG00000099797	0	0	0	0	0	0	0	0
ENSG00000099940	0	0	0.614777	0	0	0	0	0
ENSG00000100003	2.38608	3.11453	0	2.13631	1.95051	2.5187	1.09393	0
ENSG00000100058	0	0	0.914201	0	0.623586	0	0	0
ENSG00000100083	0	0	0	0	0	0	0	0
ENSG00000100099	2.03671	0	0	0	0	0	0	0
ENSG00000100181	0	0	0	0	0	1.08414	0	0
ENSG00000100206	0	0	0	0	0.542811	0	0	0
ENSG00000100209	0	0	0	0	0	0	0	0
ENSG00000100221	1.56676	1.80765	0	0	0	0	0	0
ENSG00000100228	2.44368	2.45678	1.07905	0	0	0	0	0
ENSG00000100296	0	0	0	0	0	0	0	0
ENSG00000100336	0	0	0	0	0	0	0	0
ENSG00000100342	0	0	0	0	0	0	0	0
ENSG00000100350	0	0	0	0	0	0	0	0
ENSG00000100368	2.76797	2.41389	0	3.04299	0.25939	3.45462	0.780257	2.91287
ENSG00000100376	0	0	0	0	0	0	0.322437	0
ENSG00000100410	6.12922	6.61815	5.38509	6.33349	5.41307	5.68218	6.21188	6.35155
ENSG00000100418	0	0	0.661171	0	0.339692	0	0	0
ENSG00000100522	0	0	0	0	0	0	0	0
ENSG00000100554	0	0	0.877387	0	0	0.326492	0	0
ENSG00000100625	0	0	0.586644	0.539739	0	0.34285	0.146106	0.10865
ENSG00000100626	0	2.54509	0	0	0	0	0	0
ENSG00000100644	0	0	2.21369	0	0	0	0	0
ENSG00000100711	0	0	0	0	0	0	0.458843	0
ENSG00000100767	0	1.93532	0	0	0	0	0	0
ENSG00000100814	0	0	3.06509	0	0	0	2.30869	0
ENSG00000100815	0	1.38407	0.416472	0.49151	0.221369	0	0	0.597716
ENSG00000100852	0	0	2.60392	3.49991	3.37135	0	2.84201	0
ENSG00000100865	1.85809	0	0	0	0	0	0	0
ENSG00000100934	2.60392	0	2.03671	0	0	0	0	1.98854
ENSG00000101003	0	0	0	0	0	0	0	0
ENSG00000101079	0	0	0.788196	0	0	0	0	0
ENSG00000101144	0	0	0	0	0	0	0	0
ENSG00000101181	0	0	0	0	0	0.692684	0	0
ENSG00000101307	0	0	0	0	0	0	0	0
ENSG00000101350	0	0	0	0	1.52575	0	0	0
ENSG00000101361	4.07017	4.46261	4.01367	0	5.92463	4.14933	2.89541	3.19737
ENSG00000101425	0	1.95543	0	0	0	8.58732	6.35595	8.22836
ENSG00000101448	0	0	0	0.988285	0	0	0	0
ENSG00000101452	0	0	0	0	0	0	0.380206	0
ENSG00000101546	0	0	1.50795	1.24807	0.925922	0	0	0
ENSG00000101842	0	0	0	0.76433	0.579029	0	0	0.403727
ENSG00000101882	0	0	0	0	0.718535	0	0	0
ENSG00000101892	0	0	0.647552	0	0	0	0	0
ENSG00000101966	1.10674	1.39264	0.507206	0	0	0.890821	0.49151	0.253335
ENSG00000101972	0	0	0	0	0	0	0	0
ENSG00000102054	0	0	3.17998	0	0	0	0	0.602227
ENSG00000102158	0	0	0.634032	0	0	0	0	0
ENSG00000102466	0	0	0	0	2.293	4.41298	1.77837	2.0545
ENSG00000102595	0	0	0	0	0	0	0.629691	0
ENSG00000102753	0	0	0	0	0	0.446822	0.614777	0.747005
ENSG00000102837	2.20427	1.94357	0	1.25117	1.71823	7.65219	3.55676	7.20592
ENSG00000103197	0	0	2.33076	0	0	2.0715	0	0
ENSG00000103199	0	0	0	0	0	0	0	0.136515
ENSG00000103313	0	0	1.40972	0	0	0	0	0
ENSG00000103319	0	0	0	0	0	0	0	0
ENSG00000103381	0	0	0	0	0	0	0	0
ENSG00000103415	0	0	0	0	0	0	0	0
ENSG00000103423	0	0	0	0	0	0	0	0
ENSG00000103485	0	0	0	0	0	0	0	0
ENSG00000103495	0	0	0.915297	0	0	0	0	0
ENSG00000103528	0	0	0	0	0	0	0	0
ENSG00000103544	0	0	0	0	0	0	0	0
ENSG00000103546	0	0	0	3.32562	0.545347	5.68068	3.57014	4.90395
ENSG00000103707	0	0	0	0	0	1.57943	0	0
ENSG00000103855	0	0	0	0	0.677517	0	0	0
ENSG00000103942	1.18306	0	0	0	0	0	0	0
ENSG00000103994	0	0	0.869798	0	0	0	0	0
ENSG00000104164	4.13115	4.53419	5.04542	3.56088	3.33713	4.38406	4.07017	4.21865
ENSG00000104177	0	0	0	0	0	0	0.212361	0.57577
ENSG00000104205	0	0	0	0	0	0.747005	0.552318	0
ENSG00000104368	0	0	0	0	0.636803	0	0	0
ENSG00000104375	0	0	0	0	0	0	0	0
ENSG00000104472	0	0	1.26674	0	0	0	0	0
ENSG00000104490	0	0	0	0	0	0	0	0
ENSG00000104643	0	0	0.480789	0	0	0	0	0
ENSG00000104671	0	0	0	0	2.32354	0	0	0
ENSG00000104738	0	0	0	0	0	0	0	0
ENSG00000104881	0	0	0	0	0	0	0	0
ENSG00000104894	2.83026	1.90357	3.40636	6.68342	6.47269	3.93031	5.52274	6.43504
ENSG00000104904	2.03318	0	0	0.788196	0	0	0	0
ENSG00000104946	0	0	0	0	0	0	0	0
ENSG00000105122	2.68039	2.91287	4.24378	3.95509	0.973935	1.70365	2.01389	2.92558
ENSG00000105143	0	0	0	0	0	0	0	0
ENSG00000105193	10.6384	10.8931	11.3955	11.0584	10.6652	11.119	11.9196	12.3713
ENSG00000105197	0	2.11197	0	0	0	0	0	0
ENSG00000105220	0	0	0	0	0.520854	0.51104	0.0496791	0
ENSG00000105278	0	0	1.98854	7.01107	3.98565	0	5.17082	1.25733
ENSG00000105298	0	0	0	0	0	0	0	0
ENSG00000105323	0	0	2.2663	0	2.86286	0	2.956	0
ENSG00000105339	0	0	0	0	0	0	0	0
ENSG00000105372	0	0	0	0	1.17985	0	0	0
ENSG00000105379	1.12985	0	0	0	0.850672	0	0	0
ENSG00000105392	0	0	0.970427	0.608261	0	0	0	0
ENSG00000105409	0	0	0	0	0	1.58835	0	0
ENSG00000105443	0	0	0	0	0	0.406484	0	0
ENSG00000105464	0	0	0	0	0	0	0	0
ENSG00000105499	0	0	0	0	0	0	0	0
ENSG00000105519	0	0	0	0.699019	0	0	0	0
ENSG00000105583	0	0	0	0	0.673123	0	0	0
ENSG00000105613	0	0	0	0	0	0	0	0
ENSG00000105641	0	0	0.683104	0	0	0	0	0.309436
ENSG00000105650	2.13631	2.91657	0.591993	1.90357	0	0	0	0
ENSG00000105696	0	3.96883	3.67886	1.85152	6.16672	5.47277	2.0715	1.63922
ENSG00000105700	0	0	0	0	0	0	0	0
ENSG00000105723	1.59218	0	0.692684	0	0	0	0	0.311398
ENSG00000105750	0	0	0	0	0	0	0	0
ENSG00000105793	0	0	0	0	0	0	0	0
ENSG00000105852	0	0	6.21361	7.07321	2.83549	5.14808	2.293	5.09025
ENSG00000105855	0	0	0	0	0	0	0	0.0802844
ENSG00000105889	2.40086	2.98661	3.23504	0	7.24999	2.91657	4.08149	4.87936
ENSG00000105948	0	0	0	0	0	0	0	0
ENSG00000105953	0	0	0	0	0	0	0	0
ENSG00000105996	0	0	0	1.5961	5.3839	5.80438	0	3.51005
ENSG00000105997	0	0	0	2.82021	6.08646	7.71709	0	4.15617
ENSG00000106004	0	0	0	4.1143	7.70954	8.26204	0	5.12331
ENSG00000106006	0	0	0	4.10712	5.75235	7.70734	2.22317	4.84133
ENSG00000106018	0	0	0	0	0	0	0	0
ENSG00000106031	0	0	0	1.53795	6.25623	2.91287	1.97112	2.20427
ENSG00000106077	0	0	0	0	0	0	0	0
ENSG00000106080	0	0	0	0	0.66228	0.731744	0	0
ENSG00000106258	2.28117	2.01748	0	0.84896	0	0.732966	0	0.518727
ENSG00000106261	0	0	0	0	0	0	0.0738062	0
ENSG00000106384	0	0	0	0	0.845921	0	0	0
ENSG00000106460	0	0	0	0	0	0	0.0517205	0
ENSG00000106511	0	0	0	0	5.54799	4.00054	0.548606	0
ENSG00000106546	0	0	0	0	0.190602	0	0	0
ENSG00000106588	0	0	0	1.80274	0.982406	0	0	0
ENSG00000106771	0	0	0	0	0	0	0	0
ENSG00000106785	0	0	0	0	0	0	0	0
ENSG00000107317	3.06509	3.03573	9.41284	5.49047	2.84201	2.23433	5.53402	1.96345
ENSG00000107362	0	0	0	0	0	0	0	0
ENSG00000107625	4.56537	4.69472	3.91099	4.79017	5.54032	3.73466	4.3627	4.35498
ENSG00000107736	0	0	0	0	0	0.712685	0	0
ENSG00000107796	0	3.02699	2.11627	3.26707	0	0	6.48951	1.86267
ENSG00000107897	0	0	0	0	0	0	0.299179	0
ENSG00000107937	0	0	0	0.586644	0	0	0	0
ENSG00000108187	0	0	0	0	0	0	0	0
ENSG00000108264	1.46277	0	0.617084	0	0.296034	0	0	0
ENSG00000108296	0	0	0	0	0	0	0	0
ENSG00000108309	0	0	0	0	0	0.520854	0	0
ENSG00000108423	0	0	0	0	0.96777	0	0	0
ENSG00000108439	1.84682	0	0	0	0.705202	0	0	0
ENSG00000108448	0	0	0	1.95051	0	1.72462	0	0
ENSG00000108474	3.37135	0	2.67372	0	0	3.05386	0	0
ENSG00000108511	0	0	9.4376	2.76386	6.23402	0.994546	6.86118	3.37135
ENSG00000108582	0	0	0	0	0	0	0	0
ENSG00000108587	1.19232	0	0	1.10285	0	0.617084	0	0.623586
ENSG00000108651	6.15556	5.79606	5.5156	5.56483	6.54852	5.69238	5.92655	5.85384
ENSG00000108691	2.82021	0	0	5.71122	10.4981	4.09439	1.60572	4.31597
ENSG00000108788	0	0	0	0	0	0	0	0
ENSG00000108799	0	0	0	0	0	0	0	1.45806
ENSG00000108846	0	0	1.44822	0	0	0	0	0
ENSG00000108963	0	0	0	0	0.744377	1.36665	0	0
ENSG00000109016	0	0	1.84195	0	0	0	0	0
ENSG00000109046	0	0	0	0	0	0	0.450442	0
ENSG00000109083	0	0	1.79665	0	1.34892	1.45806	1.17985	0
ENSG00000109133	1.12676	0	0	0	0	0	0	0
ENSG00000109321	7.72246	6.33967	11.8311	8.72095	0.116363	5.09926	7.15407	4.46261
ENSG00000109787	0	0	0	0	0	0	0	0
ENSG00000109943	0	0	0	0	0	0	0	0
ENSG00000109971	0	0	0	0	3.10603	0	0	0
ENSG00000110046	0	0	0	0	0	0	0	0
ENSG00000110090	0	0	0	0.808013	0	0	0	0.175546
ENSG00000110675	0	2.17088	0	0	0	0	0	0.703789
ENSG00000110697	0	0	0	0	0	0	0	0
ENSG00000110723	0	0	0	0	0	0	0	0
ENSG00000110801	0	0	0	0	0	0	0	0
ENSG00000110852	0	0	0	1.17985	7.18222	2.16505	0	3.38177
ENSG00000111300	0	0	1.94357	0	0	0	0.57577	0
ENSG00000111321	0	0	2.18276	0	0	0	0	0
ENSG00000111331	0	0	0	0	0	0	0.915297	0
ENSG00000111341	0	0	0	0	0	0	0	0
ENSG00000111432	0	0	0	0	5.57682	0	0	4.8126
ENSG00000111490	3.09557	0	2.37964	0	0	0	1.89281	0
ENSG00000111713	0	0	0.740832	0	2.42118	2.69435	0	0.916978
ENSG00000111816	1.06549	0	0.697668	0	0.285581	0	0	0.102086
ENSG00000112033	0	0	0	0	0	0	0	0
ENSG00000112078	0	0	0.545347	0	0	0	0	0
ENSG00000112079	2.05009	0	0	1.09988	0	0.570411	1.44822	0.991574
ENSG00000112096	1.80765	2.16505	2.04004	1.14691	2.68039	1.95051	1.54963	1.60572
ENSG00000112146	0	0	0	0	0	0	0.400013	0
ENSG00000112164	0	1.91846	0	3.85765	3.92089	5.86927	0	0
ENSG00000112246	0	0	0	3.17998	4.98634	0.801592	0.836145	5.52657
ENSG00000112299	0	0	1.93232	0	1.25733	0	3.09173	0.350208
ENSG00000112306	0	0	0	0	0	2.05009	0	1.77182
ENSG00000112333	0	3.60113	1.53795	0	4.21865	0.719518	1.21897	3.26707
ENSG00000112343	0	0	0	0	0	0	0.343588	0
ENSG00000112701	0	0	0	0	0	0	0	0
ENSG00000112769	0	0	0	0	0	0	0	0
ENSG00000112992	1.54305	0	2.19822	0.901721	0.661171	0	0.52676	0.329873
ENSG00000113119	0	0	0	0	0	2.60392	0	0
ENSG00000113163	0	0	0	0	0.485016	0	0	0
ENSG00000113328	3.93031	4.63498	3.1672	3.15022	5.92136	3.88525	2.03318	3.57014
ENSG00000113387	0	0	0	0	0	0	0	0
ENSG00000113494	4.54293	4.87108	3.5207	4.84133	0	0	4.32817	4.1143
ENSG00000113712	7.06153	7.00622	5.49852	6.48654	7.24258	5.50501	7.11181	6.40556
ENSG00000113719	0	0	0	0	0	0	0	0
ENSG00000113838	0	0	0	0	0	0	0	0
ENSG00000114098	0	0	0	0	0	0	0	0
ENSG00000114125	0	0	0	0	0.632597	0	0	0
ENSG00000114127	0	0	0	2.97869	2.03052	0	1.81229	0
ENSG00000114302	1.61962	0	0	0	0	0	0	0
ENSG00000114346	3.90237	0	2.53898	0	0	0	0	1.93532
ENSG00000114353	4.15617	4.6028	2.65102	4.66173	4.93393	0	3.57972	3.85765
ENSG00000114450	0	0	0	0	0	0	0	0
ENSG00000114541	0	0	0	0	0	0	0	0
ENSG00000114573	0	0	0	0.593244	0	0.400013	0	0
ENSG00000114686	0	0	0	0	0	0	0	0
ENSG00000114735	0	0	0	0	0	0	0	0
ENSG00000114850	0	0	0	0	0	0.557601	0	0
ENSG00000114948	0	0	1.50129	0	6.67086	0	0	1.21897
ENSG00000114982	0	0	0	2.03671	0	0	0	0.788196
ENSG00000115232	1.9133	0	0	2.83549	5.81875	2.956	0.23137	2.88595
ENSG00000115239	0	0	0.831231	0	1.03077	0	0	0
ENSG00000115423	2.49458	1.44822	0.403727	0	0	0	0	0
ENSG00000115602	0	0	0	0	0	0.705202	1.75252	0
ENSG00000115604	0	0	0	0	5.05726	3.03573	0	1.60238
ENSG00000115756	0	1.60572	1.67858	0	0.267169	0.777243	0.651781	0
ENSG00000115762	0	0	0	0	0	0	0	0
ENSG00000115839	0	0	0	0	0	0	0	0
ENSG00000115935	4.93393	4.25873	4.91682	5.27878	7.7598	0.951483	3.73466	6.59645
ENSG00000115947	2.81365	2.77781	4.34272	1.92763	1.56676	2.0545	2.23433	2.17088
